,Year,Shares,Fuel,Weight (kg),Engine effect (kW),Prices (2015-DKK),key,kmL
250,2008,2e-05,Benzin,2840,225.0,1259873.474,bmw-x6-2008-Benzin,8.0
251,2008,0.002016192,Benzin,1200,50.0,114409.545,toyota-aygo-2008-Benzin,21.7
252,2008,0.001283673,Diesel,1741,66.0,174238.6238,peugeot-207-2008-Diesel,20.0
253,2008,0.001162372,Diesel,1525,50.0,155372.919,peugeot-206-2008-Diesel,23.3
254,2008,0.001114872,Benzin,1485,76.0,155917.869,mazda-2-2008-Benzin,18.5
255,2008,0.001090534,Diesel,1655,59.0,142064.3729,skoda-fabia-2008-Diesel,20.8
256,2008,0.001030079,Benzin,1350,48.0,105437.2919,kia-picanto-2008-Benzin,20.0
257,2008,0.001028509,Benzin,1190,50.0,110975.5827,peugeot-107-2008-Benzin,21.7
258,2008,0.001019087,Benzin,1485,68.0,147602.6637,suzuki-swift-2008-Benzin,17.2
259,2008,0.001017517,Benzin,1905,108.0,321864.5949,mazda-6-2008-Benzin,12.3
260,2008,0.001000245,Benzin,1585,63.0,142064.3729,skoda-fabia-2008-Benzin,16.9
261,2008,0.000978654,Diesel,2010,105.0,458412.8746,audi-a4-2008-Diesel,13.9
262,2008,0.000975121,Benzin,1545,66.0,150887.9023,opel-corsa-2008-Benzin,17.9
263,2008,0.000803964,Diesel,1880,66.0,274693.6737,ford-focus-2008-Diesel,22.2
264,2008,0.000795328,Diesel,1695,55.0,150887.9023,opel-corsa-2008-Diesel,21.7
265,2008,0.000792187,Diesel,1525,66.0,187602.6637,toyota-yaris-2008-Diesel,22.2
266,2008,0.000782373,Diesel,2170,129.0,371807.9911,ford-mondeo-2008-Diesel,14.1
267,2008,0.000751361,Benzin,1465,80.0,144280.7991,mitsubishi-colt-2008-Benzin,16.7
268,2008,0.00069444,Benzin,1960,132.0,458412.8746,audi-a4-2008-Benzin,14.1
269,2008,0.000673634,Diesel,2195,100.0,307340.7325,peugeot-407-2008-Diesel,16.7
270,2008,0.000648903,Diesel,1804,110.0,258589.3452,peugeot-308-2008-Diesel,19.6
271,2008,0.000647333,Diesel,1820,85.0,221968.9234,hyundai-i30-2008-Diesel,20.4
272,2008,0.000633985,Diesel,2010,77.0,286906.7703,skoda-octavia-2008-Diesel,17.9
273,2008,0.000612002,Benzin,1820,95.0,397718.091,toyota-avensis-2008-Benzin,13.9
274,2008,0.000609647,Benzin,1305,51.0,158701.4428,fiat-500-2008-Benzin,19.6
275,2008,0.000609254,Benzin,1485,48.0,127630.4107,suzuki-splash-2008-Benzin,18.2
276,2008,0.000591196,Benzin,1305,44.0,129075.4717,fiat-panda-2008-Benzin,18.2
277,2008,0.000544089,Diesel,1525,55.0,147602.6637,suzuki-swift-2008-Diesel,22.2
278,2008,0.000537023,Benzin,2035,95.0,290175.3607,toyota-corolla-2008-Benzin,14.5
279,2008,0.000513862,Diesel,1825,80.0,266360.7103,peugeot-307-2008-Diesel,20.0
280,2008,0.000302272,Diesel,1880,80.0,286011.0988,citron-berlingo-2008-Diesel,17.5
281,2008,0.000491093,Benzin,1250,38.0,103215.3163,chevrolet-matiz-2008-Benzin,19.2
282,2008,0.000486383,Benzin,1510,71.0,127631.5205,hyundai-getz-2008-Benzin,18.2
